File,N.sentences,N.words,N.syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
11663.txt,28,642,957,22.928571428571427,1.4906542056074767,10.712576769025368
12342.txt,50,590,817,11.8,1.3847457627118644,5.233999999999998
10227.txt,103,1242,1873,12.058252427184467,1.5080515297906603,6.787143973859887
7383.txt,58,406,540,7.0,1.3300492610837438,2.764581280788178
5594.txt,38,692,1116,18.210526315789473,1.6127167630057804,10.360057803468212
1094.txt,39,960,1514,24.615384615384617,1.5770833333333334,12.37342948717949
3640.txt,38,852,1323,22.42105263157895,1.5528169014084507,11.253239436619719
2576.txt,40,825,1153,20.625,1.3975757575757575,8.738893939393943
7327.txt,37,383,520,10.35135135135135,1.3577023498694516,4.364401241973045
6039.txt,48,526,751,10.958333333333334,1.4277566539923954,5.421695183776933
7441.txt,48,714,1113,14.875,1.5588235294117647,8.456617647058824
8772.txt,58,754,1117,13.0,1.4814323607427056,6.83090185676393
12866.txt,39,557,774,14.282051282051283,1.3895870736086176,6.234306955761173
10917.txt,40,408,589,10.2,1.4436274509803921,5.320803921568629
4809.txt,42,586,920,13.952380952380953,1.5699658703071673,8.237502031529338
10095.txt,42,611,926,14.547619047619047,1.5155482815057284,7.821564959862837
13013.txt,48,803,1240,16.729166666666668,1.544209215442092,8.988752075550021
7131.txt,53,419,617,7.90566037735849,1.4725536992840096,4.79028459494754
13761.txt,45,496,750,11.022222222222222,1.5120967741935485,6.441186379928315
9120.txt,36,611,929,16.97222222222222,1.5204582651391163,8.800851973086019
10532.txt,47,741,1143,15.76595744680851,1.54251012145749,8.602683262985614
4389.txt,47,748,1102,15.914893617021276,1.4732620320855614,7.842151553077709
2934.txt,34,621,926,18.264705882352942,1.4911433172302737,8.946079378611348
981.txt,59,948,1286,16.06779661016949,1.3565400843881856,6.522935707645001
10308.txt,37,815,1303,22.027027027027028,1.5987730061349694,11.645791742662912
1346.txt,76,1499,2474,19.723684210526315,1.6504336224149434,11.380116744496334
5652.txt,36,296,449,8.222222222222221,1.5168918918918919,5.433768768768768
8410.txt,55,478,710,8.690909090909091,1.4853556485355648,5.239742107265123
11002.txt,44,441,636,10.022727272727273,1.4421768707482994,5.236323438466297
12245.txt,52,710,1050,13.653846153846153,1.4788732394366197,7.0491657638136545
11758.txt,54,901,1282,16.685185185185187,1.4228634850166482,7.540159493566822
13629.txt,51,861,1405,16.88235294117647,1.6318234610917537,10.080810958529757
5861.txt,40,522,839,13.05,1.60727969348659,8.334900383141765
8606.txt,53,553,789,10.433962264150944,1.426763110307414,5.210710362004846
8612.txt,46,980,1477,21.304347826086957,1.5071428571428571,10.28993788819876
10888.txt,47,788,1165,16.76595744680851,1.4784263959390862,8.22649530186845
10136.txt,48,621,848,12.9375,1.3655394524959743,5.4396155394525
7290.txt,35,657,1065,18.771428571428572,1.6210045662100456,10.670996738421398
1193.txt,37,752,1217,20.324324324324323,1.6183510638297873,11.229785796434733
4955.txt,53,951,1299,17.943396226415093,1.3659305993690851,7.346471638592941
361.txt,34,713,1077,20.970588235294116,1.5105189340813465,10.202946951571654
14393.txt,38,776,1335,20.42105263157895,1.7203608247422681,12.470257731958768
3974.txt,50,746,1133,14.92,1.5187667560321716,8.001047721179624
14386.txt,34,644,1030,18.941176470588236,1.5993788819875776,10.480317866276948
3961.txt,61,849,1337,13.918032786885245,1.5747938751472321,8.281420185753735
12907.txt,44,602,858,13.681818181818182,1.4252491694352158,6.427031108426458
1186.txt,43,527,769,12.255813953488373,1.459203036053131,6.285805127752528
1151.txt,45,412,559,9.155555555555555,1.3567961165048543,3.8993052858683903
2458.txt,56,951,1441,16.982142857142858,1.5152471083070451,8.743130163737419
8607.txt,46,869,1229,18.891304347826086,1.4142692750287686,8.277073097513384
9914.txt,43,995,1705,23.13953488372093,1.7135678391959799,13.423123758326518
2841.txt,38,568,905,14.947368421052632,1.5933098591549295,8.891056338028168
7093.txt,28,573,825,20.464285714285715,1.4397905759162304,9.175957367240091
2672.txt,51,936,1516,18.352941176470587,1.6196581196581197,10.496083459024636
9727.txt,42,538,799,12.80952380952381,1.4851301115241635,6.802154363604178
1347.txt,38,579,925,15.236842105263158,1.5975820379965457,9.05146804835924
6428.txt,62,719,1050,11.596774193548388,1.4603616133518775,6.049041231100542
1421.txt,28,470,691,16.785714285714285,1.4702127659574469,8.1370820668693
10296.txt,47,669,1000,14.23404255319149,1.4947683109118086,7.457202238972108
7865.txt,45,341,470,7.5777777777777775,1.3782991202346042,3.5534851743238853
1596.txt,68,948,1439,13.941176470588236,1.5179324894514767,7.619250434350956
2706.txt,42,670,934,15.952380952380953,1.3940298507462687,6.921457000710735
7656.txt,62,647,875,10.435483870967742,1.3523956723338486,4.3337528045071565
7642.txt,56,592,847,10.571428571428571,1.4307432432432432,5.309913127413129
3815.txt,61,599,874,9.819672131147541,1.4590984974958263,5.358837680286818
8968.txt,51,705,1096,13.823529411764707,1.5546099290780142,8.007338339591158
4613.txt,73,1438,2306,19.698630136986303,1.6036161335187762,10.818149827576352
9337.txt,38,744,1131,19.57894736842105,1.5201612903225807,9.787903225806456
13562.txt,106,1602,2423,15.11320754716981,1.5124843945068664,8.000334723105556
9479.txt,53,979,1557,18.471698113207548,1.5903983656792646,10.195945998034194
1743.txt,47,641,1003,13.638297872340425,1.564742589703588,8.056515749991704
11407.txt,47,898,1386,19.106382978723403,1.5434298440979954,9.882897692271243
12668.txt,42,667,1015,15.880952380952381,1.5217391304347827,8.401283643892342
13206.txt,40,339,510,8.475,1.5044247787610618,5.382712389380533
13560.txt,44,416,627,9.454545454545455,1.5072115384615385,5.7878234265734285
7456.txt,50,589,823,11.78,1.397283531409168,5.374345670628184
7318.txt,44,422,569,9.590909090909092,1.3483412322274881,3.964971994829817
